filename,stage,plant
H5WWMBCX2-3590-01-0-1_S13_L002_R1_001.fastq.gz,RUNM,p1
H5WWMBCX2-3590-02-0-1_S14_L002_R1_001.fastq.gz,PUNM,p1
H5WWMBCX2-3590-03-0-1_S15_L002_R1_001.fastq.gz,LBCP,p1
H5WWMBCX2-3590-04-0-1_S16_L002_R1_001.fastq.gz,LTCP,p1
H5WWMBCX2-3590-05-0-1_S17_L002_R1_001.fastq.gz,RUNM,p2
H5WWMBCX2-3590-06-0-1_S18_L002_R1_001.fastq.gz,PUNM,p2
H5WWMBCX2-3590-07-0-1_S19_L002_R1_001.fastq.gz,LBCP,p2
H5WWMBCX2-3590-08-0-1_S20_L002_R1_001.fastq.gz,LTCP,p2
H5WWMBCX2-3590-09-0-1_S21_L002_R1_001.fastq.gz,RUNM,p3
H5WWMBCX2-3590-10-0-1_S22_L002_R1_001.fastq.gz,PUNM,p3
H5WWMBCX2-3590-11-0-1_S23_L002_R1_001.fastq.gz,LBCP,p3
H5WWMBCX2-3590-12-0-1_S24_L002_R1_001.fastq.gz,LTCP,p3
H5WWMBCX2-3590-13-0-1_S25_L002_R1_001.fastq.gz,RUNM,p4
H5WWMBCX2-3590-14-0-1_S26_L002_R1_001.fastq.gz,PUNM,p4
H5WWMBCX2-3590-15-0-1_S27_L002_R1_001.fastq.gz,LBCP,p4
H5WWMBCX2-3590-16-0-1_S28_L002_R1_001.fastq.gz,LTCP,p4
HGHC2BCX2-4006-01-0-1_S13_L002_R1_001.fastq.gz,RUNM,p5
HGHC2BCX2-4006-02-0-1_S14_L002_R1_001.fastq.gz,PUNM,p5
HGHC2BCX2-4006-03-0-1_S15_L002_R1_001.fastq.gz,LBCP,p5
HGHC2BCX2-4006-04-0-1_S16_L002_R1_001.fastq.gz,LTCP,p5
HGHC2BCX2-4006-05-0-1_S17_L002_R1_001.fastq.gz,RUNM,p6
HGHC2BCX2-4006-06-0-1_S18_L002_R1_001.fastq.gz,PUNM,p6
HGHC2BCX2-4006-07-0-1_S19_L002_R1_001.fastq.gz,LBCP,p6
HGHC2BCX2-4006-08-0-1_S20_L002_R1_001.fastq.gz,LTCP,p6
HGHC2BCX2-4006-09-0-1_S21_L002_R1_001.fastq.gz,RUNM,p7
HGHC2BCX2-4006-10-0-1_S22_L002_R1_001.fastq.gz,PUNM,p7
HGHC2BCX2-4006-11-0-1_S23_L002_R1_001.fastq.gz,LBCP,p7
HGHC2BCX2-4006-12-0-1_S24_L002_R1_001.fastq.gz,LTCP,p7
HGHC2BCX2-4006-13-0-1_S25_L002_R1_001.fastq.gz,RUNM,p8
HGHC2BCX2-4006-14-0-1_S26_L002_R1_001.fastq.gz,PUNM,p8
HGHC2BCX2-4006-15-0-1_S27_L002_R1_001.fastq.gz,LBCP,p8
HGHC2BCX2-4006-16-0-1_S28_L002_R1_001.fastq.gz,LTCP,p8
